status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed
Immediate,META,661.62,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/3H/90m,DBD/RBD,supply,676.71,659.57,676.71,676.71,659.57,0.0,fresh,Fresh / untested (0 tests),0,-0.77,Weak,0.9,6.62,Average,6.89,"1D supply @ 751.44 (RR 5.24, fresh, tests 0, quality 15.2)",5.24,5.24,15.21,751.44,,1:5.24–1:6.92,"T1: 1D supply @ 751.44 (RR 5.24, fresh, tests 0, quality 15.2) | T2: 1D supply @ 780.25 (RR 6.92, one_test, tests 1, quality 12.3)","1D supply @ 751.44 (RR 5.24, fresh, tests 0, quality 15.2)",5.24,fresh,0.0,hard_target,"1D supply @ 780.25 (RR 6.92, one_test, tests 1, quality 12.3)",6.92,one_test,1.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,4,"1D,3H,90m",1D supply 659.57-665.52 RBD; 1D supply 666.80-676.71 RBD; 3H supply 662.10-666.49 RBD; 90m supply 662.10-666.49 DBD,1D,643.82,646.82,2H/90m/1H,below_price,2.24,659.57,676.71,1D/3H/90m,containing_price,0.0,inside_supply,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,658.75,2.869,0.435,Flat / no meaningful gap,flat,Sideways,-0.103,sideways,above_9ema,above_vwap,660.426,658.748,3.293,high_volume,high_volume,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 67%, breaks 33% (3 tests)",-6.67,54.3,"structure mixed; testing supply; gap into supply; Supply history: rejects 67%, breaks 33% (3 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Research / monitor only,eligible_pre_grade,8.723,A,Excellent 1:4.0+,rr-excellent,T1 1:5.24 (Excellent 1:4.0+); range 1:5.24–1:6.92,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,APP,535.5,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,3H/2H/90m/1H,DBD/RBD,supply,535.7,529.28,535.7,529.28,535.7,0.0,fresh,Fresh / untested (0 tests),0,-0.53,Weak,1.72,33.93,Excellent,6.75,"4H/2H/90m/1H demand @ 521.99 (RR 2.10, one_test, tests 1, quality 11.5)",2.1,2.1,11.54,521.99,,1:2.10–1:10.36,"T1: 4H/2H/90m/1H demand @ 521.99 (RR 2.10, one_test, tests 1, quality 11.5) | T2: 1D demand @ 521.65 (RR 2.16, multiple_tests, tests 2, quality 7.5) | T3: 1D demand @ 487.69 (RR 7.45, one_test, tests 1, quality 10.2) | T4: 1D demand @ 480.72 (RR 8.53, one_test, tests 1, quality 9.7) | T5: 1D demand @ 469.00 (RR 10.36, one_test, tests 1, quality 10.5)","4H/2H/90m/1H demand @ 521.99 (RR 2.10, one_test, tests 1, quality 11.5)",2.1,one_test,1.0,hard_target,"1D demand @ 521.65 (RR 2.16, multiple_tests, tests 2, quality 7.5)",2.16,multiple_tests,2.0,hard_target,"1D demand @ 487.69 (RR 7.45, one_test, tests 1, quality 10.2)",7.45,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,6,"3H,2H,90m,1H",3H supply 532.64-533.89 DBD; 2H supply 529.28-535.70 RBD; 2H supply 532.64-533.89 DBD; 90m supply 532.64-533.89 DBD; 90m supply 530.64-535.70 RBD; 1H supply 532.64-533.89 DBD,3H,514.35,521.99,4H/2H/90m/1H,below_price,2.52,529.28,535.7,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,524.31,11.19,2.134,Gap up,moderate_gap,Bullish,2.1,impulsive,above_9ema,above_vwap,524.308,523.862,2.661,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 0%, breaks 80% (5 tests)",-15.0,54.0,"structure mixed; testing supply; possible absorption; gap into supply; gap up 2.13%; Supply history: rejects 0%, breaks 80% (5 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Research / monitor only,rejected_low_rr_to_nearest_opposing_zone,7.947,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.10 (Acceptable 1:2.0–1:2.49); range 1:2.10–1:7.45,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening
Immediate,APP,535.5,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/2H/90m/1H,DBD/RBD,supply,535.7,529.28,535.7,535.7,529.28,0.0,fresh,Fresh / untested (0 tests),0,-0.53,Weak,1.72,33.93,Excellent,6.75,"4H/90m/1H supply @ 563.90 (RR 4.42, fresh, tests 0, quality 14.3)",4.42,4.42,14.33,563.9,,1:4.42–1:20.83,"T1: 4H/90m/1H supply @ 563.90 (RR 4.42, fresh, tests 0, quality 14.3) | T2: 3H/2H/90m/1H supply @ 604.24 (RR 10.71, fresh, tests 0, quality 15.6) | T3: 3H/2H/90m/1H supply @ 615.23 (RR 12.42, one_test, tests 1, quality 10.5) | T4: 1D supply @ 655.11 (RR 18.63, fresh, tests 0, quality 16.1) | T5: 2H/90m/1H supply @ 669.20 (RR 20.83, fresh, tests 0, quality 16.9)","4H/90m/1H supply @ 563.90 (RR 4.42, fresh, tests 0, quality 14.3)",4.42,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 604.24 (RR 10.71, fresh, tests 0, quality 15.6)",10.71,fresh,0.0,hard_target,"3H/2H/90m/1H supply @ 615.23 (RR 12.42, one_test, tests 1, quality 10.5)",12.42,one_test,1.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,6,"3H,2H,90m,1H",3H supply 532.64-533.89 DBD; 2H supply 529.28-535.70 RBD; 2H supply 532.64-533.89 DBD; 90m supply 532.64-533.89 DBD; 90m supply 530.64-535.70 RBD; 1H supply 532.64-533.89 DBD,3H,514.35,521.99,4H/2H/90m/1H,below_price,2.52,529.28,535.7,3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,524.31,11.19,2.134,Gap up,moderate_gap,Bullish,2.1,impulsive,above_9ema,above_vwap,524.308,523.862,2.661,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 0%, breaks 80% (5 tests)",15.0,84.0,"structure mixed; testing supply; possible absorption; gap into supply; gap up 2.13%; Supply history: rejects 0%, breaks 80% (5 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Priority movement watch,eligible_pre_grade,8.688,A,Excellent 1:4.0+,rr-excellent,T1 1:4.42 (Excellent 1:4.0+); range 1:4.42–1:12.42,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,QQQ,621.64,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H,RBR,demand,621.65,618.91,618.91,621.65,618.91,0.0,fresh,Fresh / untested (0 tests),0,0.47,Weak,1.06,4.02,Average,6.53,"1D supply @ 632.08 (RR 3.81, fresh, tests 0, quality 15.6)",3.81,3.81,15.62,632.08,,1:3.81,"T1: 1D supply @ 632.08 (RR 3.81, fresh, tests 0, quality 15.6)","1D supply @ 632.08 (RR 3.81, fresh, tests 0, quality 15.6)",3.81,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,1,4H,4H demand 618.91-621.65 RBR,4H,618.91,621.65,4H,containing_price,0.0,621.26,629.47,1D/2H/90m/1H,containing_price,0.0,inside_demand,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,622.78,-1.14,-0.183,Flat / no meaningful gap,flat,Sideways,-0.175,sideways,below_9ema,below_vwap,622.64,622.896,2.902,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 40%, breaks 60% (5 tests)",-4.0,65.0,"structure mixed; testing demand; possible absorption; gap into supply; Demand history: holds 40%, breaks 60% (5 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,7.883,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.81 (Strong 1:2.5–1:3.99); range 1:3.81–1:3.81,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
Immediate,QQQ,621.64,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H,RBR,demand,621.65,618.91,618.91,618.91,621.65,0.0,fresh,Fresh / untested (0 tests),0,0.47,Weak,1.06,4.02,Average,6.53,"1D/2H/90m/1H demand @ 611.57 (RR 3.68, fresh, tests 0, quality 17.4)",3.68,3.68,17.37,611.57,,1:3.68–1:20.91,"T1: 1D/2H/90m/1H demand @ 611.57 (RR 3.68, fresh, tests 0, quality 17.4) | T2: 1D demand @ 586.66 (RR 12.77, multiple_tests, tests 3, quality 6.3) | T3: 1D demand @ 570.07 (RR 18.82, fresh, tests 0, quality 13.9) | T4: 1D demand @ 564.35 (RR 20.91, one_test, tests 1, quality 11.3)","1D/2H/90m/1H demand @ 611.57 (RR 3.68, fresh, tests 0, quality 17.4)",3.68,fresh,0.0,hard_target,"1D demand @ 586.66 (RR 12.77, multiple_tests, tests 3, quality 6.3)",12.77,multiple_tests,3.0,hard_target,"1D demand @ 570.07 (RR 18.82, fresh, tests 0, quality 13.9)",18.82,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,1,4H,4H demand 618.91-621.65 RBR,4H,618.91,621.65,4H,containing_price,0.0,621.26,629.47,1D/2H/90m/1H,containing_price,0.0,inside_demand,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,622.78,-1.14,-0.183,Flat / no meaningful gap,flat,Sideways,-0.175,sideways,below_9ema,below_vwap,622.64,622.896,2.902,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Demand Breakdown Watch,testing_demand,"Demand history: holds 40%, breaks 60% (5 tests)",4.0,73.0,"structure mixed; testing demand; possible absorption; gap into supply; Demand history: holds 40%, breaks 60% (5 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,7.883,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.68 (Strong 1:2.5–1:3.99); range 1:3.68–1:18.82,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,HIMS,29.66,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H/3H/2H/90m/1H,RBR,demand,29.74,29.0,29.0,29.0,29.74,0.0,fresh,Fresh / untested (0 tests),0,0.7,Weak,0.8,3.39,Weak,6.5,"90m demand @ 28.40 (RR 1.70, fresh, tests 0, quality 9.8)",1.7,1.7,9.85,28.4,,1:1.70,"T1: 90m demand @ 28.40 (RR 1.70, fresh, tests 0, quality 9.8)","90m demand @ 28.40 (RR 1.70, fresh, tests 0, quality 9.8)",1.7,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,5,"4H,3H,2H,90m,1H",4H demand 29.00-29.74 RBR; 3H demand 29.00-29.50 RBR; 2H demand 29.00-29.50 RBR; 90m demand 29.21-29.45 RBR; 1H demand 29.25-29.34 RBR,4H,29.0,29.74,4H/3H/2H/90m/1H,containing_price,0.0,29.92,30.16,1H,above_price,0.88,inside_demand,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,29.62,0.04,0.135,Flat / no meaningful gap,flat,Bullish,0.576,grinding,above_9ema,above_vwap,29.532,29.609,2.194,high_volume,high_volume,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 25%, breaks 75% (4 tests)",10.0,71.0,"structure mixed; testing demand; gap into demand; Demand history: holds 25%, breaks 75% (4 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,rejected_low_rr_to_nearest_opposing_zone,7.615,A,Watch only 1:1.5–1:1.99,rr-watch,T1 1:1.70 (Watch only 1:1.5–1:1.99); range 1:1.70–1:1.70,False,Zone Map / Research,Blocked: nearest zone limits R:R,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,SHOP,137.0,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,1D/4H/90m,DBR,demand,138.11,134.65,134.65,134.65,138.11,0.0,one_test,One successful retest (1 tests),1,1.15,Moderate,0.82,12.69,Weak,6.47,"1D demand @ 127.00 (RR 2.89, fresh, tests 0, quality 19.0)",2.89,2.89,19.0,127.0,,1:2.89–1:5.32,"T1: 1D demand @ 127.00 (RR 2.89, fresh, tests 0, quality 19.0) | T2: 1D demand @ 118.60 (RR 5.32, fresh, tests 0, quality 14.4)","1D demand @ 127.00 (RR 2.89, fresh, tests 0, quality 19.0)",2.89,fresh,0.0,hard_target,"1D demand @ 118.60 (RR 5.32, fresh, tests 0, quality 14.4)",5.32,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,3,"1D,4H,90m",1D demand 134.88-136.68 DBR; 4H demand 137.24-138.11 DBR; 90m demand 134.65-137.64 DBR,1D,134.65,138.11,1D/4H/90m,containing_price,0.0,137.89,139.29,90m/1H,above_price,0.65,inside_demand,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,137.89,-0.89,-0.645,Flat / no meaningful gap,flat,Sideways,-0.393,grinding,below_9ema,below_vwap,137.546,137.923,3.142,high_volume,high_volume,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 29%, breaks 57% (7 tests)",5.71,66.7,"structure mixed; testing demand; gap into demand; Demand history: holds 29%, breaks 57% (7 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,7.902,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.89 (Strong 1:2.5–1:3.99); range 1:2.89–1:5.32,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,CRM,228.17,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,3H/2H/1H,DBD/RBD,supply,230.49,228.17,230.49,230.49,228.17,0.0,fresh,Fresh / untested (0 tests),0,-0.29,Weak,0.64,3.78,Weak,5.96,"1D/90m/1H supply @ 233.53 (RR 2.31, fresh, tests 0, quality 17.9)",2.31,2.31,17.91,233.53,,1:2.31–1:15.23,"T1: 1D/90m/1H supply @ 233.53 (RR 2.31, fresh, tests 0, quality 17.9) | T2: 1D supply @ 239.18 (RR 4.75, fresh, tests 0, quality 14.7) | T3: 1D/2H/90m/1H supply @ 259.00 (RR 13.29, fresh, tests 0, quality 21.1) | T4: 1D/1H supply @ 263.50 (RR 15.23, fresh, tests 0, quality 14.8)","1D/90m/1H supply @ 233.53 (RR 2.31, fresh, tests 0, quality 17.9)",2.31,fresh,0.0,hard_target,"1D supply @ 239.18 (RR 4.75, fresh, tests 0, quality 14.7)",4.75,fresh,0.0,hard_target,"1D/2H/90m/1H supply @ 259.00 (RR 13.29, fresh, tests 0, quality 21.1)",13.29,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,3,"3H,2H,1H",3H supply 228.17-230.37 DBD; 2H supply 228.59-230.49 RBD; 1H supply 228.51-229.07 DBD,3H,226.7,228.1,2H/90m/1H,below_price,0.03,228.17,230.49,3H/2H/1H,containing_price,0.0,inside_supply,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,228.04,0.13,0.057,Flat / no meaningful gap,flat,Sideways,0.184,sideways,above_9ema,above_vwap,227.904,227.988,3.174,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 67%, breaks 33% (3 tests)",-6.67,62.3,"structure mixed; testing supply; possible absorption; gap into supply; Supply history: rejects 67%, breaks 33% (3 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,rejected_low_rr_to_nearest_opposing_zone,7.726,A,Acceptable 1:2.0–1:2.49,rr-acceptable,T1 1:2.31 (Acceptable 1:2.0–1:2.49); range 1:2.31–1:13.29,False,Zone Map / Research,Blocked: nearest zone limits R:R,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure
Immediate,SMCI,31.3,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,DBR/RBR,demand,31.42,30.96,30.96,30.96,31.42,0.0,one_test,One successful retest (1 tests),1,0.85,Weak,1.31,2.68,Strong,5.34,"1D/3H/2H/90m/1H demand @ 29.42 (RR 4.09, fresh, tests 0, quality 21.0)",4.09,4.09,20.96,29.42,,1:4.09–1:6.35,"T1: 1D/3H/2H/90m/1H demand @ 29.42 (RR 4.09, fresh, tests 0, quality 21.0) | T2: 1D/2H/90m/1H demand @ 28.38 (RR 6.35, fresh, tests 0, quality 17.8)","1D/3H/2H/90m/1H demand @ 29.42 (RR 4.09, fresh, tests 0, quality 21.0)",4.09,fresh,0.0,hard_target,"1D/2H/90m/1H demand @ 28.38 (RR 6.35, fresh, tests 0, quality 17.8)",6.35,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A,5,"2H,90m,1H",2H demand 31.11-31.42 RBR; 90m demand 31.11-31.42 RBR; 90m demand 30.96-31.42 DBR; 1H demand 30.96-31.33 DBR; 1H demand 30.97-31.32 DBR,2H,30.22,31.41,1D,containing_price,0.0,31.9,32.27,90m/1H,above_price,1.92,inside_demand,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,31.69,-0.39,-1.231,Gap down,small_gap,Bearish,-0.949,directional,below_9ema,below_vwap,31.611,31.684,2.382,high_volume,high_volume,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 40%, breaks 40% (5 tests)",0.0,61.0,"structure mixed; testing demand; gap into demand; gap down -1.23%; Demand history: holds 40%, breaks 40% (5 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,8.035,A,Excellent 1:4.0+,rr-excellent,T1 1:4.09 (Excellent 1:4.0+); range 1:4.09–1:6.35,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure
Immediate,CRM,228.17,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,2H/90m/1H,DBR/RBR,demand,228.1,226.7,226.7,228.1,226.7,0.03,one_test,One successful retest (1 tests),1,0.28,Weak,0.39,3.73,Weak,4.67,"1D/90m/1H supply @ 233.53 (RR 3.65, fresh, tests 0, quality 17.9)",3.65,3.65,17.91,233.53,,1:3.65–1:24.03,"T1: 1D/90m/1H supply @ 233.53 (RR 3.65, fresh, tests 0, quality 17.9) | T2: 1D supply @ 239.18 (RR 7.49, fresh, tests 0, quality 14.7) | T3: 1D/2H/90m/1H supply @ 259.00 (RR 20.97, fresh, tests 0, quality 21.1) | T4: 1D/1H supply @ 263.50 (RR 24.03, fresh, tests 0, quality 14.8)","1D/90m/1H supply @ 233.53 (RR 3.65, fresh, tests 0, quality 17.9)",3.65,fresh,0.0,hard_target,"1D supply @ 239.18 (RR 7.49, fresh, tests 0, quality 14.7)",7.49,fresh,0.0,hard_target,"1D/2H/90m/1H supply @ 259.00 (RR 20.97, fresh, tests 0, quality 21.1)",20.97,fresh,0.0,hard_target,3,,t1_nearest_unbroken_opposing_zone,A,6,"2H,90m,1H",2H demand 226.70-227.30 RBR; 2H demand 227.09-228.10 RBR; 90m demand 227.09-228.10 RBR; 1H demand 227.09-228.10 RBR; 1H demand 226.70-227.08 DBR; 1H demand 226.70-227.30 RBR,2H,226.7,228.1,2H/90m/1H,below_price,0.03,228.17,230.49,3H/2H/1H,containing_price,0.0,inside_supply,2026-01-26T08:00:00-05:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-01-26 08:00 AM EST,228.04,0.13,0.057,Flat / no meaningful gap,flat,Sideways,0.184,sideways,above_9ema,above_vwap,227.904,227.988,3.174,high_volume,absorption_possible,Premarket,2026-01-26T08:00:00-05:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,above_demand_no_trigger,"Demand history: holds 33%, breaks 67% (3 tests)",-6.67,56.3,"structure mixed; possible absorption; gap into supply; Demand history: holds 33%, breaks 67% (3 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,8.364,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.65 (Strong 1:2.5–1:3.99); range 1:3.65–1:20.97,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving
