status,symbol,current_price,setup,scenario,scenario_label,option_contract,bias,side,timeframe,pattern,zone_type,zone_top,zone_bottom,trigger_level,confirmation_level,invalidation_level,distance_pct,freshness,freshness_label,tests,departure_atr,departure_grade,departure_volume_ratio,departure_body_vs_base_body,volume_grade,quality_score,target,estimated_rr,target_rr_raw,target_quality,target_level,target_reject_reason,target_rr_range,target_ladder,target_1_zone,target_1_rr,target_1_freshness,target_1_tests,target_1_role,target_2_zone,target_2_rr,target_2_freshness,target_2_tests,target_2_role,target_3_zone,target_3_rr,target_3_freshness,target_3_tests,target_3_role,intervening_zone_count,nearest_obstacle_zone,target_selection_reason,grade,confluence_count,confluence_timeframes,merged_from,primary_timeframe,closest_demand_bottom,closest_demand_top,closest_demand_timeframe,closest_demand_relation,distance_to_demand_pct,closest_supply_bottom,closest_supply_top,closest_supply_timeframe,closest_supply_relation,distance_to_supply_pct,price_position_status,current_price_as_of,structure_bias_5m,structure_detail_5m,last_swing_high_5m,prior_swing_high_5m,last_swing_low_5m,prior_swing_low_5m,structure_bias_15m,structure_detail_15m,last_swing_high_15m,prior_swing_high_15m,last_swing_low_15m,prior_swing_low_15m,structure_bias_1d,structure_detail_1d,last_swing_high_1d,prior_swing_high_1d,last_swing_low_1d,prior_swing_low_1d,structure_alignment,price_structure_bias,structure_trade_alignment,latest_price_session,latest_price_time,prior_rth_close,gap_abs,gap_pct,gap_direction,gap_size_bucket,recent_move_direction,recent_move_pct,recent_move_strength,price_vs_9ema,price_vs_vwap,ema9,session_vwap,volume_ratio_recent,volume_state,vpa_state,current_price_session,snapshot_context_time,snapshot_context_type,gap_zone_context,zone_thesis,zone_movement_state,historical_zone_tendency,historical_reaction_score,observation_score,observation_reason,watch_for,movement_watchlist_bucket,rejection_reasons,setup_quality_score,setup_quality_grade,rr_tier,rr_tier_class,rr_range_summary,final_eligible,watchlist_bucket,scenario_status,confirmation_needed,duplicate_rows_collapsed
Immediate,NFLX,99.62,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,1D/4H/2H/90m/1H,DBD/RBD,supply,99.88,98.29,99.88,99.88,98.29,0.0,fresh,Fresh / untested (0 tests),0,0.22,Weak,0.83,3.44,Weak,8.55,"1D supply @ 109.20 (RR 6.03, fresh, tests 0, quality 15.1)",6.0,6.03,15.05,109.2,,1:6.03–1:663.28,"T1: 1D supply @ 109.20 (RR 6.03, fresh, tests 0, quality 15.1) | T2: 1D supply @ 1154.23 (RR 663.28, fresh, tests 0, quality 14.5)","1D supply @ 109.20 (RR 6.03, fresh, tests 0, quality 15.1)",6.03,fresh,0.0,hard_target,"1D supply @ 1154.23 (RR 663.28, fresh, tests 0, quality 14.5)",663.28,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,10,"1D,4H,2H,90m,1H",1D supply 98.55-99.88 DBD; 4H supply 98.29-99.49 RBD; 4H supply 98.68-99.68 RBD; 2H supply 99.03-99.49 RBD; 90m supply 99.03-99.49 DBD; 90m supply 99.14-99.68 RBD; 90m supply 99.00-99.56 RBD; 1H supply 99.03-99.49 DBD; 1H supply 99.14-99.68 RBD; 1H supply 99.30-99.56 RBD,1D,97.34,99.11,4H/3H/2H/90m/1H,below_price,0.51,98.29,99.88,1D/4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,99.47,0.15,0.151,Flat / no meaningful gap,flat,Bullish,0.759,directional,above_9ema,above_vwap,99.222,99.372,3.054,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 0%, breaks 75% (4 tests)",15.0,76.0,"structure mixed; testing supply; gap into supply; Supply history: rejects 0%, breaks 75% (4 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Priority movement watch,eligible_pre_grade,9.137,A+,Excellent 1:4.0+,rr-excellent,T1 1:6.03 (Excellent 1:4.0+); range 1:6.03–1:663.28,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,AAPL,257.6,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,3H/2H/90m/1H,DBR/RBR,demand,258.14,256.9,256.9,258.14,256.9,0.0,fresh,Fresh / untested (0 tests),0,0.39,Weak,0.99,2.24,Average,7.38,"1D/4H/3H/2H/90m/1H supply @ 262.45 (RR 3.91, fresh, tests 0, quality 16.5)",3.91,3.91,16.49,262.45,,1:3.91–1:13.78,"T1: 1D/4H/3H/2H/90m/1H supply @ 262.45 (RR 3.91, fresh, tests 0, quality 16.5) | T2: 1D/4H/3H/2H/90m/1H supply @ 271.40 (RR 11.13, fresh, tests 0, quality 18.2) | T3: 1D/4H/2H/90m/1H supply @ 274.69 (RR 13.78, fresh, tests 0, quality 17.6)","1D/4H/3H/2H/90m/1H supply @ 262.45 (RR 3.91, fresh, tests 0, quality 16.5)",3.91,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 271.40 (RR 11.13, fresh, tests 0, quality 18.2)",11.13,fresh,0.0,hard_target,"1D/4H/2H/90m/1H supply @ 274.69 (RR 13.78, fresh, tests 0, quality 17.6)",13.78,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A+,4,"3H,2H,90m,1H",3H demand 257.10-258.14 RBR; 2H demand 256.90-257.43 DBR; 90m demand 256.90-257.50 DBR; 1H demand 257.09-257.23 DBR,3H,256.9,258.14,3H/2H/90m/1H,containing_price,0.0,255.76,263.16,1D/4H/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,258.91,-1.31,-0.506,Flat / no meaningful gap,flat,Sideways,0.058,sideways,below_9ema,below_vwap,258.129,258.602,2.872,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,testing_demand,"Demand history: holds 0%, breaks 50% (2 tests)",-10.0,51.0,"structure mixed; testing demand; gap into supply; Demand history: holds 0%, breaks 50% (2 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Research / monitor only,eligible_pre_grade,8.845,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.91 (Strong 1:2.5–1:3.99); range 1:3.91–1:13.78,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Immediate,AAPL,257.6,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,3H/2H/90m/1H,DBR/RBR,demand,258.14,256.9,256.9,256.9,258.14,0.0,fresh,Fresh / untested (0 tests),0,0.39,Weak,0.99,2.24,Average,7.38,"4H/3H/2H/1H demand @ 253.49 (RR 3.31, fresh, tests 0, quality 15.0)",3.31,3.31,15.02,253.49,,1:3.31–1:30.30,"T1: 4H/3H/2H/1H demand @ 253.49 (RR 3.31, fresh, tests 0, quality 15.0) | T2: 1D/4H/3H/2H/90m/1H demand @ 251.96 (RR 4.55, fresh, tests 0, quality 16.7) | T3: 1D demand @ 239.97 (RR 14.22, fresh, tests 0, quality 17.9) | T4: 1D demand @ 227.92 (RR 23.94, multiple_tests, tests 3, quality 6.9) | T5: 1D demand @ 220.03 (RR 30.30, fresh, tests 0, quality 16.4)","4H/3H/2H/1H demand @ 253.49 (RR 3.31, fresh, tests 0, quality 15.0)",3.31,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 251.96 (RR 4.55, fresh, tests 0, quality 16.7)",4.55,fresh,0.0,hard_target,"1D demand @ 239.97 (RR 14.22, fresh, tests 0, quality 17.9)",14.22,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"3H,2H,90m,1H",3H demand 257.10-258.14 RBR; 2H demand 256.90-257.43 DBR; 90m demand 256.90-257.50 DBR; 1H demand 257.09-257.23 DBR,3H,256.9,258.14,3H/2H/90m/1H,containing_price,0.0,255.76,263.16,1D/4H/3H/2H/90m/1H,containing_price,0.0,inside_demand,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,258.91,-1.31,-0.506,Flat / no meaningful gap,flat,Sideways,0.058,sideways,below_9ema,below_vwap,258.129,258.602,2.872,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Demand Breakdown Watch,testing_demand,"Demand history: holds 0%, breaks 50% (2 tests)",10.0,71.0,"structure mixed; testing demand; gap into supply; Demand history: holds 0%, breaks 50% (2 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.831,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.31 (Strong 1:2.5–1:3.99); range 1:3.31–1:14.22,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,META,625.58,Supply Zone Rejection,supply_reject,Supply Rejection — Puts,Puts,Bearish,short,1D/4H/3H/2H/90m/1H,DBD,supply,627.03,615.68,627.03,615.68,627.03,0.0,one_test,One successful retest (1 tests),1,-0.57,Weak,1.1,8.26,Average,7.67,"90m demand @ 596.75 (RR 2.54, fresh, tests 0, quality 14.2)",2.54,2.54,14.22,596.75,,1:2.54–1:8.90,"T1: 90m demand @ 596.75 (RR 2.54, fresh, tests 0, quality 14.2) | T2: 1D/4H/3H/2H/90m/1H demand @ 575.05 (RR 4.45, fresh, tests 0, quality 19.8) | T3: 2H/90m/1H demand @ 560.06 (RR 5.77, fresh, tests 0, quality 12.6) | T4: 1D/4H/3H/2H/90m/1H demand @ 537.40 (RR 7.77, fresh, tests 0, quality 19.9) | T5: 90m/1H demand @ 524.55 (RR 8.90, fresh, tests 0, quality 9.7)","90m demand @ 596.75 (RR 2.54, fresh, tests 0, quality 14.2)",2.54,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H demand @ 575.05 (RR 4.45, fresh, tests 0, quality 19.8)",4.45,fresh,0.0,hard_target,"2H/90m/1H demand @ 560.06 (RR 5.77, fresh, tests 0, quality 12.6)",5.77,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A,8,"1D,4H,3H,2H,90m,1H",1D supply 615.68-622.65 DBD; 4H supply 615.72-619.50 DBD; 4H supply 622.64-623.88 DBD; 3H supply 622.64-626.44 DBD; 2H supply 622.64-623.88 DBD; 90m supply 622.64-623.76 DBD; 1H supply 622.64-623.76 DBD; 1H supply 625.17-627.03 DBD,1D,591.83,596.75,90m,below_price,4.61,615.68,627.03,1D/4H/3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,612.69,12.893,2.104,Gap up,moderate_gap,Bullish,2.169,impulsive,above_9ema,above_vwap,612.253,612.192,1.984,high_volume,absorption_possible,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Supply Rejection Watch,testing_supply,"Supply history: rejects 67%, breaks 33% (3 tests)",6.67,75.7,"structure mixed; testing supply; possible absorption; gap into supply; gap up 2.10%; Supply history: rejects 67%, breaks 33% (3 tests)","Watch for failure to close above supply, upper-wick/absorption behavior, then bearish follow-through away from the zone.",Priority movement watch,eligible_pre_grade,8.142,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:2.54 (Strong 1:2.5–1:3.99); range 1:2.54–1:5.77,True,Final / Actionable,Ready: wait for 5M trigger,Puts: supply test; rejection candle; lose/hold below 9EMA and VWAP; bearish continuation/DBD; downside volume response; market context weakening,1
Immediate,SPY,674.11,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/1H,DBR,demand,675.03,672.78,672.78,672.78,675.03,0.0,fresh,Fresh / untested (0 tests),0,0.25,Weak,1.66,6.47,Excellent,6.71,"1D/4H/3H/2H/90m/1H demand @ 659.27 (RR 6.59, fresh, tests 0, quality 18.5)",6.0,6.59,18.47,659.27,,1:6.59–1:18.09,"T1: 1D/4H/3H/2H/90m/1H demand @ 659.27 (RR 6.59, fresh, tests 0, quality 18.5) | T2: 2H/1H demand @ 642.48 (RR 14.06, fresh, tests 0, quality 12.1) | T3: 4H/3H/2H/90m demand @ 633.40 (RR 18.09, fresh, tests 0, quality 15.7)","1D/4H/3H/2H/90m/1H demand @ 659.27 (RR 6.59, fresh, tests 0, quality 18.5)",6.59,fresh,0.0,hard_target,"2H/1H demand @ 642.48 (RR 14.06, fresh, tests 0, quality 12.1)",14.06,fresh,0.0,hard_target,"4H/3H/2H/90m demand @ 633.40 (RR 18.09, fresh, tests 0, quality 15.7)",18.09,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,2,"2H,1H",2H demand 674.34-675.03 DBR; 1H demand 672.78-674.90 DBR,2H,672.78,675.03,2H/1H,containing_price,0.0,674.88,688.28,1D/4H/3H/2H/90m/1H,above_price,0.11,inside_demand,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,675.87,-1.763,-0.261,Flat / no meaningful gap,flat,Sideways,0.121,sideways,below_9ema,below_vwap,674.845,675.529,2.928,high_volume,volume_expansion_with_direction,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 25%, breaks 50% (4 tests)",5.0,78.0,"structure mixed; testing demand; volume expansion; gap into demand; Demand history: holds 25%, breaks 50% (4 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.227,A,Excellent 1:4.0+,rr-excellent,T1 1:6.59 (Excellent 1:4.0+); range 1:6.59–1:18.09,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,RBLX,55.6,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,2H/90m/1H,RBR,demand,55.77,54.79,54.79,54.79,55.77,0.0,one_test,One successful retest (1 tests),1,1.07,Moderate,2.0,2.97,Excellent,6.57,"1D/4H/3H/2H/90m demand @ 52.28 (RR 3.39, fresh, tests 0, quality 18.7)",3.39,3.39,18.67,52.28,,1:3.39,"T1: 1D/4H/3H/2H/90m demand @ 52.28 (RR 3.39, fresh, tests 0, quality 18.7)","1D/4H/3H/2H/90m demand @ 52.28 (RR 3.39, fresh, tests 0, quality 18.7)",3.39,fresh,0.0,hard_target,,,,,,,,,,,0,,t1_nearest_unbroken_opposing_zone,A,3,"2H,90m,1H",2H demand 54.79-55.77 RBR; 90m demand 54.79-55.32 RBR; 1H demand 54.79-55.32 RBR,2H,54.79,55.77,2H/90m/1H,containing_price,0.0,56.58,57.96,1D/4H/2H/90m/1H,above_price,1.76,inside_demand,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,55.43,0.17,0.307,Flat / no meaningful gap,flat,Sideways,0.189,sideways,above_9ema,above_vwap,55.457,55.389,3.7,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 0%, breaks 100% (3 tests)",15.0,76.0,"structure mixed; testing demand; gap into demand; Demand history: holds 0%, breaks 100% (3 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Priority movement watch,eligible_pre_grade,8.192,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.39 (Strong 1:2.5–1:3.99); range 1:3.39–1:3.39,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Immediate,MU,406.56,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBD/RBD,supply,409.23,403.89,409.23,409.23,403.89,0.0,fresh,Fresh / untested (0 tests),0,-0.94,Weak,0.83,4.38,Weak,6.36,"4H/3H/2H/90m/1H supply @ 422.96 (RR 3.07, fresh, tests 0, quality 16.9)",3.07,3.07,16.88,422.96,,1:3.07–1:11.02,"T1: 4H/3H/2H/90m/1H supply @ 422.96 (RR 3.07, fresh, tests 0, quality 16.9) | T2: 4H/3H/2H/90m supply @ 443.77 (RR 6.97, fresh, tests 0, quality 15.3) | T3: 2H/90m/1H supply @ 465.42 (RR 11.02, fresh, tests 0, quality 12.1)","4H/3H/2H/90m/1H supply @ 422.96 (RR 3.07, fresh, tests 0, quality 16.9)",3.07,fresh,0.0,hard_target,"4H/3H/2H/90m supply @ 443.77 (RR 6.97, fresh, tests 0, quality 15.3)",6.97,fresh,0.0,hard_target,"2H/90m/1H supply @ 465.42 (RR 11.02, fresh, tests 0, quality 12.1)",11.02,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,8,"4H,3H,2H,90m,1H",4H supply 404.23-409.23 DBD; 3H supply 403.89-409.23 DBD; 2H supply 407.75-408.75 RBD; 2H supply 404.23-409.23 DBD; 90m supply 404.23-407.82 DBD; 90m supply 405.98-409.20 RBD; 1H supply 404.23-407.82 DBD; 1H supply 406.19-409.23 RBD,4H,401.75,405.05,1H,below_price,0.37,403.89,409.23,4H/3H/2H/90m/1H,containing_price,0.0,inside_supply,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,406.86,-0.3,-0.074,Flat / no meaningful gap,flat,Bullish,0.998,directional,above_9ema,above_vwap,405.467,406.07,2.022,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,testing_supply,"Supply history: rejects 100%, breaks 0% (2 tests)",-15.0,46.0,"structure mixed; testing supply; gap into supply; Supply history: rejects 100%, breaks 0% (2 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Research / monitor only,eligible_pre_grade,8.432,A,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.07 (Strong 1:2.5–1:3.99); range 1:3.07–1:11.02,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
Immediate,QQQ,604.8,Demand Zone Breakdown,demand_break,Demand Breakdown / Continuation — Puts,Puts,Bearish,short,4H,RBR,demand,605.24,602.12,602.12,602.12,605.24,0.0,fresh,Fresh / untested (0 tests),0,0.11,Weak,0.67,16.25,Weak,5.78,"1D/4H/3H/2H/90m/1H demand @ 588.69 (RR 5.16, fresh, tests 0, quality 18.4)",5.16,5.16,18.41,588.69,,1:5.16–1:14.43,"T1: 1D/4H/3H/2H/90m/1H demand @ 588.69 (RR 5.16, fresh, tests 0, quality 18.4) | T2: 2H/1H demand @ 568.74 (RR 11.56, fresh, tests 0, quality 12.2) | T3: 4H/3H/2H/90m demand @ 559.77 (RR 14.43, fresh, tests 0, quality 15.6)","1D/4H/3H/2H/90m/1H demand @ 588.69 (RR 5.16, fresh, tests 0, quality 18.4)",5.16,fresh,0.0,hard_target,"2H/1H demand @ 568.74 (RR 11.56, fresh, tests 0, quality 12.2)",11.56,fresh,0.0,hard_target,"4H/3H/2H/90m demand @ 559.77 (RR 14.43, fresh, tests 0, quality 15.6)",14.43,fresh,0.0,hard_target,2,,t1_nearest_unbroken_opposing_zone,A,1,4H,4H demand 602.12-605.24 RBR,4H,602.12,605.24,4H,containing_price,0.0,605.24,617.52,1D/4H/3H/2H/90m/1H,above_price,0.07,inside_demand,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,605.89,-1.086,-0.179,Flat / no meaningful gap,flat,Sideways,0.286,grinding,above_9ema,below_vwap,604.542,605.369,2.086,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_demand,Demand Breakdown Watch,testing_demand,"Demand history: holds 40%, breaks 60% (5 tests)",4.0,65.0,"structure mixed; testing demand; gap into demand; Demand history: holds 40%, breaks 60% (5 tests)","Watch for strong RTH close below demand, opening-volume confirmation, and hold/retest below the zone.",Developing movement watch,eligible_pre_grade,7.695,A,Excellent 1:4.0+,rr-excellent,T1 1:5.16 (Excellent 1:4.0+); range 1:5.16–1:14.43,True,Final / Actionable,Ready: wait for 5M trigger,Puts: 5M close below demand; hold/retest below zone; volume expands on break or continuation; below 9EMA/VWAP; lower-low or lower-high structure,1
Near-Term,NFLX,99.62,Demand Zone Test / Hold,demand_hold,Demand Reversal / Hold — Calls,Calls,Bullish,long,4H/3H/2H/90m/1H,DBR/RBR,demand,99.11,97.34,97.34,99.11,97.34,0.51,fresh,Fresh / untested (0 tests),0,0.23,Weak,0.62,23.67,Weak,7.35,"1D supply @ 109.20 (RR 4.20, fresh, tests 0, quality 15.1)",4.2,4.2,15.05,109.2,,1:4.20–1:462.55,"T1: 1D supply @ 109.20 (RR 4.20, fresh, tests 0, quality 15.1) | T2: 1D supply @ 1154.23 (RR 462.55, fresh, tests 0, quality 14.5)","1D supply @ 109.20 (RR 4.20, fresh, tests 0, quality 15.1)",4.2,fresh,0.0,hard_target,"1D supply @ 1154.23 (RR 462.55, fresh, tests 0, quality 14.5)",462.55,fresh,0.0,hard_target,,,,,,1,,t1_nearest_unbroken_opposing_zone,A+,11,"4H,3H,2H,90m,1H",4H demand 98.92-99.11 RBR; 3H demand 98.99-99.10 DBR; 3H demand 98.60-98.98 RBR; 2H demand 97.42-97.70 RBR; 90m demand 98.85-99.03 DBR; 90m demand 97.52-98.13 DBR; 1H demand 98.74-99.11 DBR; 1H demand 97.52-97.87 RBR; 1H demand 98.25-98.59 DBR; 1H demand 97.97-98.56 DBR; 1H demand 97.34-97.63 RBR,4H,97.34,99.11,4H/3H/2H/90m/1H,below_price,0.51,98.29,99.88,1D/4H/2H/90m/1H,containing_price,0.0,inside_supply,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,99.47,0.15,0.151,Flat / no meaningful gap,flat,Bullish,0.759,directional,above_9ema,above_vwap,99.222,99.372,3.054,high_volume,high_volume,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Demand Hold/Reversal Watch,bouncing_from_demand,"Demand history: holds 50%, breaks 50% (4 tests)",0.0,69.0,"structure mixed; bouncing from demand; gap into supply; Demand history: holds 50%, breaks 50% (4 tests)","Watch for demand tap, absorption or lower-wick rejection, reclaim of demand top, then bullish follow-through.",Developing movement watch,eligible_pre_grade,9.287,A+,Excellent 1:4.0+,rr-excellent,T1 1:4.20 (Excellent 1:4.0+); range 1:4.20–1:462.55,True,Final / Actionable,Ready: wait for 5M trigger,Calls: demand test; selling volume fades or stabilizes into zone; reversal candle; reclaim/hold 9EMA and VWAP; bullish continuation/RBR; market context improving,1
Near-Term,MSFT,374.3,Supply Zone Breakout,supply_break,Supply Breakout / Continuation — Calls,Calls,Bullish,long,2H/90m/1H,DBD/RBD,supply,379.42,376.76,379.42,379.42,376.76,1.37,fresh,Fresh / untested (0 tests),0,-1.03,Moderate,1.02,5.35,Average,7.55,"1D/4H/3H/2H/90m/1H supply @ 382.34 (RR 3.02, fresh, tests 0, quality 18.3)",3.02,3.02,18.32,382.34,,1:3.02–1:13.80,"T1: 1D/4H/3H/2H/90m/1H supply @ 382.34 (RR 3.02, fresh, tests 0, quality 18.3) | T2: 4H/2H/90m supply @ 393.73 (RR 7.30, fresh, tests 0, quality 13.4) | T3: 1D/4H/3H/2H/90m/1H supply @ 398.77 (RR 9.20, fresh, tests 0, quality 17.2) | T4: 4H/3H/2H/90m/1H supply @ 407.31 (RR 12.41, one_test, tests 1, quality 11.3) | T5: 1D/4H/90m/1H supply @ 411.00 (RR 13.80, fresh, tests 0, quality 17.9)","1D/4H/3H/2H/90m/1H supply @ 382.34 (RR 3.02, fresh, tests 0, quality 18.3)",3.02,fresh,0.0,hard_target,"4H/2H/90m supply @ 393.73 (RR 7.30, fresh, tests 0, quality 13.4)",7.3,fresh,0.0,hard_target,"1D/4H/3H/2H/90m/1H supply @ 398.77 (RR 9.20, fresh, tests 0, quality 17.2)",9.2,fresh,0.0,hard_target,4,,t1_nearest_unbroken_opposing_zone,A+,4,"2H,90m,1H",2H supply 378.03-379.42 RBD; 90m supply 378.52-379.42 RBD; 1H supply 376.76-378.80 DBD; 1H supply 377.48-379.00 RBD,2H,363.07,373.49,1D/4H/3H/2H/90m/1H,below_price,0.22,365.97,374.72,1D,containing_price,0.0,inside_supply,2026-04-09T08:00:00-04:00,Insufficient structure,,,,,,Insufficient structure,,,,,,Insufficient structure,,,,,,Range-bound / insufficient,Range-bound / insufficient,Mixed / no clear structure edge,Premarket,2026-04-09 08:00 AM EDT,374.3,0.0,0.0,Flat / no meaningful gap,flat,Sideways,0.485,grinding,above_9ema,above_vwap,372.964,373.977,2.541,high_volume,volume_expansion_with_direction,Premarket,2026-04-09T08:00:00-04:00,preopen,gap_into_supply,Supply Breakout Watch,below_supply_no_trigger,"Supply history: rejects 25%, breaks 25% (4 tests)",0.0,67.0,"structure mixed; volume expansion; gap into supply; Supply history: rejects 25%, breaks 25% (4 tests)","Watch for a strong RTH close above supply, opening-volume confirmation, and hold/retest above the zone.",Developing movement watch,eligible_pre_grade,9.062,A+,Strong 1:2.5–1:3.99,rr-strong,T1 1:3.02 (Strong 1:2.5–1:3.99); range 1:3.02–1:9.20,True,Final / Actionable,Ready: wait for 5M trigger,Calls: 5M close above supply; hold/retest above zone; volume expands on break or continuation; above 9EMA/VWAP; higher-high or higher-low structure,1
